,docid,string,start,end,tokenloc,tokentext,entlabel,edit_short
0,22,Miguel de Gainza,29,32,28,fueron,PER,0
1,49,Cristobal,2,3,1,maestre,PER,0
2,49,luis sanches,969,971,968,canteria,PER,0
3,49,juan fernandes,981,983,984,maestre,PER,0
4,49,Cristobal,985,986,984,maestre,PER,0
5,49,Cristobal,1007,1008,1006,maestre,PER,0
6,110,Andres,6,7,5,maestre,PER,0
7,112,Cristobal,15,16,16,darcos,PER,1
8,132,Pedro de Campaña,3,6,2,maestre,PER,0
9,139,nufrio de ortega,281,284,285,cuarta,PER,0
10,139,bartolome de ortega,359,362,363,cuarta,PER,0
11,172,diego de la barrera,36,40,35,cuanto,PER,0
12,201,Juan barva,33,35,35,cabeça,PER,1
13,221,francisco pavon,67,69,69,maestre,PER,0
14,227,juan gonzales,53,55,52,padrino,PER,0
15,229,Manuel de Artiaga y Salcedo,84,89,83,padrino,PER,0
16,232,Manuel de Artiaga y Alua,76,81,75,padrino,PER,0
17,256,Andres de Ibarburu y Galdona,39,44,44,maestre,PER,0
18,276,martin del rio,80,83,83,capellan,PER,0
19,292,luis de vilches,49,52,52,ajuste,PER,0
20,313,Diego de Alcala,139,142,142,estas,PER,R
21,367,Rodriguez,339,340,337,cuenta,PER,0
22,383,Melchor Moreno,361,363,359,almas,PER,0
23,463,Pedro Sanchez de Alcala,45,49,44,padres,PER,0
24,552,alonso de leon,738,741,737,braza,PER,0
25,552,pedro de vargas,756,759,755,braza,PER,0
26,639,Pedro,21,22,20,maestre,PER,0
27,675,Bernabe belazquez,721,723,723,despinosa,PER,1
28,675,Andres de ocampo,724,727,723,despinosa,PER,0
29,715,Juan de useda,7,10,10,castroberde,PER,1
30,734,nufra de Jesus y alfaro,54,59,59,freyla,PER,0
31,847,Maria Ruiz,9,11,8,pariente,PER,0
32,875,alonso fernandes,1,3,3,viñero,PER,1
33,897,niculas,27,28,26,maestre,PER,0
34,903,anton sanches,79,81,81,suegro,PER,0
35,918,rodrigo alvarez,107,109,109,manda,PER,0
36,951,pedro delgado,291,293,293,estaua,PER,0
37,962,Miguel de Gainza,1773,1776,1771,espadas,PER,0
38,966,cosme de sorribas,1,4,4,regero,PER,0
39,976,graviel,2,3,1,maestre,PER,0
40,997,lorenzo de castellanos,267,270,271,cuerpo,PER,0
41,1003,medel ?,6,8,8,despinosa,PER,1
42,1011,juan de salmeron,86,89,89,preso,PER,0
43,1014,pedro del castillo,3505,3508,3508,criados,PER,0
44,1023,grabiel del balle,322,325,327,media,PER,0
45,1027,andres de obiedo,322,325,325,antes,PER,0
46,1029,baltasar de rribera,136,139,139,segun,PER,0
47,1049,diego de herrera,633,636,632,feliphe,PER,1
48,1066,juan rrodrigues,366,368,368,segun,PER,0
49,1066,juan rrodrigues,427,429,429,segun,PER,0
50,1069,alonso martinez,1928,1930,1930,corre,PER,0
51,1074,Pedro Natera,39,41,37,cobrar,PER,0
52,1074,Pedro Natera,39,41,41,varias,PER,0
53,1082,pedro de aranguibel,86,89,85,maestre,PER,0
54,1084,antonio de jesus,68,71,71,guardian,PER,0
55,1100,geronimo martin,29,31,28,preso,PER,0
56,1124,Rodrigo Alonso,316,318,314,suelo,PER,0
57,1124,Francisco,376,377,378,aguador,PER,0
58,1138,Francisco de Carmona,1099,1102,1098,benga,PER,0
59,1149,Juan Bautista Judice,43,46,42,sigue,PER,0
60,1192,andres de Ocampo,7262,7265,7266,obreros,PER,0
61,1199,balbuena,152,153,151,ffernando,PER,1
62,1199,Villacreces,427,428,426,ffernando,PER,1
63,1205,Alonso de escovedo colombres,17,21,21,fueron,PER,0
64,1208,diego gomez de ortega,27,31,25,recibo,PER,0
65,1211,juan lopez de bozmediado,700,704,705,traer,PER,0
66,1216,manuel lorenzo,2053,2055,2052,contado,PER,0
67,1239,antonio perez,1198,1200,1197,razon,PER,0
68,1239,agustin Zojo,1630,1632,1633,quiero,PER,0
69,1305,niculoso pisano,7,9,9,ollero,PER,0
70,1316,francisco lopez,22,24,24,maestre,PER,0
71,1328,beatriz de çuñiga y belasco,27,32,32,marquesa,PER,0
72,1328,beatriz de çuñiga,1576,1579,1580,belasco,PER,1
73,1355,beatriz de zuñiga,26,29,30,belasco,PER,1
74,1355,juan de ouiedo,1227,1230,1225,marquesa,PER,0
75,1380,pablo legote,287,289,290,segun,PER,0
76,1391,felipe de riuas,312,315,315,luego,PER,0
77,1407,francisco antonio xixon,45,48,44,llama,PER,0
78,1413,juan de la pasion,18,22,22,sacritan,PER,0
79,1425,francisco galiano,1106,1108,1108,montan,PER,0
80,1429,juan martinez montañes,81,84,79,reciuo,PER,0
81,1431,Bernardino Rodriguez,1077,1079,1079,manda,PER,0
82,1438,francisco pacheco,1703,1705,1701,fueron,PER,0
83,1466,francisco de herrera,358,361,361,fueron,PER,0
84,1466,blas martin siluestre luis del balle,811,817,817,segun,PER,o
85,1466,francisco de herrera,904,907,907,porque,PER,0
86,1483,luis fernandes de cordoba,84,88,89,consejo,PER,0
87,1520,aparysio martyn,79,81,77,cobrar,PER,0
88,1521,xpoual de trugillo,101,104,104,fueron,PER,0
89,1521,juan bautista,177,179,181,madalena,PER,R
90,1523,alonso de ortega,61,64,60,cuanto,PER,0
91,1523,fernando de aldana,731,734,734,estan,PER,0
92,1531,xpoval muñoz,7,9,9,maestre,PER,0
93,1591,miguel,40,41,39,maestre,PER,0
94,1591,miguel,75,76,74,maestre,PER,0
95,1591,miguel,139,140,138,maestre,PER,0
96,1591,miguel,177,178,176,maestre,PER,0
97,1610,Juan Valtanel,1,3,0,Maestre,PER,0
98,1620,Francisco de Ortega,69,72,68,padres,PER,0
99,1666,miguel de loxa,58,61,61,arquero,PER,0
100,1666,francisco de ocanpo,423,426,426,porque,PER,0
101,1671,martin maldonado,122,124,124,fecha,PER,0
102,1680,juan martines montañes,167,170,171,estas,PER,0
103,1696,Andres Cansino,1044,1046,1043,figura,PER,0
104,1708,Francisco Dionisio de Ribas,55,59,54,firma,PER,0
105,1722,juana de florez,32,35,35,ambos,PER,0
106,1723,catalina muñoz,70,72,68,latonero,PER,0
107,1724,alonso ramirez,203,205,208,personas,PER,0
108,1738,luis venegas de figueroa,160,164,164,capellan,PER,0
109,1755,jorge fernandes,682,684,684,luego,PER,0
110,1755,de la madera,708,711,707,criste,PER,R
111,1758,juan guiralte,1090,1092,1092,porque,PER,0
112,1777,Pedro Perez,5,7,4,suegro,PER,0
113,1808,Catalina de Flores,8,11,7,cuñada,PER,0
114,1816,vicente de perea,1534,1537,1532,suegro,PER,0
115,1826,Maria de San Joseph,30,34,29,Madres,PER,0
116,1830,Juan de uceda,7,10,10,castroberde,PER,1
117,1854,marco,8,9,7,maestre,PER,0
118,1903,diego rrodriguez,37,39,39,guardian,PER,0
119,1955,Leon de Ayala,98,101,101,manda,PER,0
120,1967,dancart,5,6,4,maestre,PER,0
121,2057,juan tomas,2,4,4,despindola,PER,1
122,2060,francisco florentin,3,5,2,maestre,PER,0
123,2061,francisco florentin,3,5,2,maestre,PER,0
124,2062,francisco florentin,28,30,27,maestre,PER,0
125,2064,francisco florentin,3,5,2,maestre,PER,0
126,2070,jacome losero,20,22,19,maestre,PER,0
127,2071,andres carpintero,3,5,2,maestre,PER,1
128,2074,garcia fernandes,7,9,9,porque,PER,0
129,2128,catalina de aviles,311,314,314,antes,PER,0
130,2141,Juan de Soto y Rueda,16,21,21,capellan,PER,0
131,2145,ana lopez,33,35,35,fueron,PER,0
132,2147,ysabel ruys,35,37,37,fueron,PER,0
133,2152,leonor rodriguez,30,32,32,fueron,PER,0
134,2157,Jorge fernandes,7,9,9,fueron,PER,0
135,2169,ysabel fernandes,12,14,14,fueron,PER,0
136,2170,juan sanchez,26,28,29,lloreynte,PER,0
137,2175,maria bernandes,12,14,14,fueron,PER,0
138,2177,Gonzalo,8,9,6,padrino,PER,0
139,2178,Francisco,3,4,1,padrino,PER,0
140,2180,Leonor,9,10,7,padrino,PER,0
141,2181,miguell,8,9,7,maestre,PER,0
142,2181,juana fernandes,12,14,14,fueron,PER,0
143,2181,esteuan,17,18,16,maestre,PER,0
144,2181,catalina gomez,23,25,26,maestre,PER,0
145,2181,niculas,27,28,26,maestre,PER,0
146,2182,Ana,9,10,7,padrino,PER,0
147,2187,Pablos Legot,1235,1237,1237,segun,PER,0
148,2191,Señor Prouisor,46,48,44,Señoria,PER,0
149,2193,Juo de roela,28,31,31,capellan,PER,0
150,2198,Joan de roelas,6,9,5,Licendo,PER,0
151,2203,Nicolas de Vergara Baptista Vazquez,1341,1346,1340,covarruvias,PER,o
152,2204,Bautista Vazquez,8,10,7,viejoy,PER,0
153,2204,Alejo Lopez,171,173,173,mercador,PER,0
154,2239,Benuenuto,2122,2123,2123,trata,PER,0
155,2307,franco pacheco,1272,1274,1274,quiero,PER,0
156,2322,Juan Martinez Montañes,127,130,130,abian,PER,0
157,2344,catalina de billegas,333,336,336,luego,PER,0
158,2349,Catalina de fandoual,109,112,113,luego,PER,0
159,2351,Martinez Montañes,6,8,5,padrino,PER,0
160,2352,ynes de alava,76,79,80,luego,PER,0
161,2356,Martinez Montañes,5,7,4,figura,PER,0
162,2356,Martinez Montañes,5,7,8,padrino,PER,0
163,2357,Martinez Montañes,6,8,5,padrino,PER,0
164,2358,diego de salcedo,29,32,27,cabeça,PER,0
165,2359,Martinez Montañes,8,10,11,padrino,PER,0
166,2361,Alonso fernandez de Mora,24,28,22,fueron,PER,0
167,2365,manuel francisco muñoz,7,10,10,maestre,PER,0
168,2377,antonio de la fuente,40,44,38,cobrar,PER,0
169,2387,urfula de rribera,0,3,77,hijos-,PER,0
170,2391,andres rrodrigues,16,18,18,tirador,PER,0
171,2399,alonso cano,0,2,38,bornes,PER,0
172,2400,alonso cano,0,2,44,maderas,PER,0
173,2401,juan bautista de uzeda,13,17,17,castroberde,PER,1
174,2403,Mendoza Rios,118,120,117,llama,PER,0
175,2470,juan nieto,21,23,19,obligados,PER,0
176,2478,domingo gonçales,0,2,120,meses,PER,0
177,2489,Miguel Guelles,8,10,7,figura,PER,0
178,2496,Vicente hernandes,717,719,720,figuras,PER,0
179,2496,Vicente hernandes,784,786,786,porque,PER,0
180,2502,francisco de herrera,0,3,423,menos,PER,0
181,2507,nicolao griego,22,24,24,patrono,PER,0
182,2529,martin moreno,531,533,530,plazos,PER,0
183,2532,juan de peña,119,122,122,porque,PER,0
184,2555,martin lopez,44,46,42,cobrar,PER,0
185,2556,antonio lopez giron,300,303,299,llama,PER,0
186,2556,alonso salguero,593,595,592,llama,PER,0
187,2558,bernardo de rriuera,74,77,77,alguazil,PER,0
188,2565,Ynes Alvarez de Saavedra,17,21,21,fueron,PER,0
189,2566,nicolao griego,68,70,66,figura,PER,0
190,2590,juan martines montañes,21,24,25,porque,PER,0
191,2602,luis ortiz de bargas,118,122,122,recibo,PER,0
192,2612,juan de rremesal,343,346,342,porque,PER,0
193,2612,pablo legot,347,349,349,estan,PER,0
194,2633,francisco de ocanpo,0,3,3,felgera,PER,1
195,2680,blanca henrriquez,27,29,29,marquesa,PER,0
196,2697,Cristobal perez,40,42,38,cobrar,PER,0
197,2698,Sebastian martines botello,41,44,39,cobrar,PER,0
198,2699,francisco pacheco,0,2,2,patrono,PER,0
199,2708,mahomad paliar,21,23,20,maestre,PER,0
200,2716,miguel adan,461,463,460,porque,PER,0
201,2720,Maria,389,390,388,nietos,PER,0
